B03002,Hispanic or Latino Origin by Race,,,,,,,,
zip,Total,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,Hispanic or Latino
10523,9133,2648,2484,24,751,0,7,341,2878
10524,4380,3624,112,0,121,0,6,101,416
10526,1763,1468,41,0,49,0,0,0,205
10527,925,897,9,0,0,0,0,0,19
10528,13182,9687,243,102,1523,0,39,131,1457
10530,12268,7599,1133,19,1402,0,40,330,1745
10532,4952,4045,78,0,297,0,9,9,514
10533,7662,6430,12,0,600,17,0,173,430
10535,390,390,0,0,0,0,0,0,0
10536,10627,9331,184,84,298,0,12,189,529
10537,2441,1570,579,0,105,0,0,41,146
10538,16302,13423,94,0,1009,0,73,331,1372
10541,26321,22379,142,0,517,0,37,292,2954
10543,20951,13899,959,0,852,0,56,307,4878
10545,128,69,12,0,0,0,0,0,47
10546,1228,1066,3,0,85,0,0,20,54
10547,7690,4796,331,0,391,0,36,48,2088
10548,3793,2909,257,0,15,0,0,42,570
10549,16498,9944,579,0,873,0,40,212,4850
10550,37429,2893,26671,264,619,0,565,212,6205
10552,20202,7685,7176,30,743,0,218,540,3810
10553,10075,237,8678,0,10,0,137,77,936
10560,4792,3804,243,42,134,0,28,139,402
10562,31636,13970,3635,0,1620,0,123,548,11740
10566,24010,7022,5350,33,505,0,28,664,10408
10567,20518,13463,1035,8,605,7,91,641,4668
10570,12900,9863,551,0,498,0,61,311,1616
10573,38816,16056,1026,22,1113,9,97,247,20246
10576,4907,4248,102,0,121,0,21,133,282
10577,6356,4283,662,12,356,10,2,182,849
10578,801,668,0,0,26,0,0,0,107
10579,8208,6741,133,0,74,0,35,220,1005
10580,17334,14408,163,120,1007,0,127,374,1135
10583,40851,29445,614,48,6594,6,175,1179,2790
10588,3087,1851,122,0,154,0,0,0,960
10589,8793,8015,100,0,115,0,0,0,563
10590,7078,6094,165,16,219,0,20,117,447
10591,23044,12011,1215,0,1176,0,61,488,8093
10594,5090,3938,202,0,197,0,31,29,693
10595,8473,5495,931,9,638,0,22,93,1285
10596,1242,1022,28,0,9,0,0,81,102
10597,853,813,0,0,15,0,0,25,0
10598,29320,22832,1062,242,1643,12,44,385,3100
10601,10614,4568,1404,0,1379,0,37,134,3092
10603,17866,7054,4517,8,1484,0,71,173,4559
10604,11290,6655,905,25,590,0,29,202,2884
10605,19195,12438,1248,0,998,0,92,730,3689
10606,16841,5429,2207,0,1083,0,34,119,7969
10607,7578,2471,1691,25,1048,0,21,110,2212
10701,61604,15120,13676,112,3132,46,862,714,27942
10703,22148,7841,3618,0,1143,0,72,552,8922
10704,31683,17429,3638,49,2141,7,96,328,7995
10705,39944,8004,6837,0,2049,0,422,670,21962
10706,8493,6877,196,0,578,0,108,177,557
10707,10260,7171,527,0,905,0,9,259,1389
10708,21769,15696,1140,19,1009,8,50,570,3277
10709,9603,8346,193,9,590,0,61,39,365
10710,25262,12156,3326,184,3237,0,87,234,6038
10801,41370,12853,10263,0,2124,25,656,598,14851
10803,12510,8322,1118,0,969,0,24,483,1594
10804,15229,11828,1060,0,769,0,37,171,1364
10805,19096,6965,3408,2,905,0,234,109,7473
10901,23039,16767,1357,23,1261,14,47,561,3009
10910,0,0,0,0,0,0,0,0,0
10911,0,0,0,0,0,0,0,0,0
10913,5075,4231,63,0,394,0,0,109,278
10914,297,214,83,0,0,0,0,0,0
10915,85,85,0,0,0,0,0,0,0
10916,4352,3662,32,0,56,0,21,31,550
10917,1766,1208,0,0,138,0,78,7,335
10918,12653,8507,945,2,249,0,0,194,2756
10919,948,717,13,0,14,0,24,0,180
10920,9075,6248,322,42,802,0,107,142,1412
10921,3809,2799,53,80,37,0,23,131,686
10922,1637,1142,15,0,164,0,0,0,316
10923,8627,3337,897,0,687,0,221,109,3376
10924,13508,10173,514,0,395,0,0,135,2291
10925,3913,3348,72,98,25,0,0,37,333
10926,3592,1630,842,0,235,0,36,21,828
10927,12065,2427,983,0,282,0,0,83,8290
10928,4145,2320,776,12,285,0,28,292,432
10930,9425,6141,810,0,536,0,45,68,1825
10931,938,344,147,20,87,0,0,93,247
10932,102,83,0,0,0,0,0,0,19
10933,563,502,0,0,13,0,0,0,48
10940,48021,21202,7487,59,1351,0,516,1177,16229
10941,13786,6243,3347,2,704,0,54,325,3111
10950,50979,40983,1416,119,1294,0,113,644,6410
10952,42063,37748,2068,2,743,0,36,214,1252
10953,109,109,0,0,0,0,0,0,0
10954,22931,13309,3058,0,3002,0,68,633,2861
10956,32289,21202,2655,30,3595,0,64,649,4094
10958,3319,2267,457,0,13,0,0,41,541
10960,15857,8700,3404,0,596,0,83,433,2641
10962,6034,4218,375,12,788,0,20,101,520
10963,4487,2571,657,0,96,0,76,96,991
10964,1224,997,27,0,111,0,0,11,78
10965,15534,12297,536,117,935,0,12,192,1445
10968,2400,1819,109,0,145,0,0,62,265
10969,1329,1034,61,0,58,0,0,21,155
10970,10082,4244,1754,0,694,0,14,268,3108
10973,2479,1998,191,0,25,0,0,76,189
10974,3202,2534,142,0,77,0,19,42,388
10975,200,79,0,0,0,0,0,30,91
10976,2332,1592,106,12,197,0,5,30,390
10977,66138,33603,15283,29,1563,0,340,556,14764
10979,162,162,0,0,0,0,0,0,0
10980,13942,9360,1490,41,473,0,0,80,2498
10983,5999,4217,60,0,819,0,0,119,784
10984,2789,1432,442,0,66,0,0,0,849
10985,162,162,0,0,0,0,0,0,0
10986,1899,1320,27,0,27,0,0,0,525
10987,3408,2728,174,0,31,0,40,36,399
10988,636,427,10,0,0,0,0,32,167
10989,8689,5690,685,0,872,0,0,272,1170
10990,20307,17587,568,101,425,45,102,259,1220
10992,9360,6845,674,34,129,0,28,23,1627
10993,4803,1399,611,40,188,0,115,73,2377
10994,7396,5780,98,0,580,0,0,112,826
10996,6383,4462,419,26,318,10,8,442,698
10998,3281,2577,24,0,12,0,0,52,616
11001,28021,16324,1535,107,5987,0,106,447,3515
11003,44572,7079,20445,51,5955,13,791,1296,8942
11004,15098,5060,927,76,6489,51,108,604,1783
11005,1759,1691,0,0,42,0,0,0,26
11010,24752,17005,362,157,1974,0,0,236,5018
11020,5774,2407,600,14,2449,0,0,78,226
11021,18245,11934,389,145,4431,0,82,305,959
11023,9301,7723,33,0,950,0,0,89,506
11024,7786,6194,117,0,473,0,0,145,857
11030,18578,13394,170,6,3263,0,43,306,1396
11040,41592,17725,619,89,15743,103,554,874,5885
11042,506,323,124,0,22,0,0,7,30
11050,30357,21338,459,44,3600,6,40,298,4572
11096,8362,2341,1633,0,391,0,40,33,3924
11101,31366,10358,4252,0,7700,49,270,827,7910
11102,29747,13527,2462,23,4718,0,166,743,8108
11103,35995,20863,650,16,4906,40,82,753,8685
11104,25114,10982,329,31,6034,0,56,486,7196
11105,36983,23354,786,12,4192,0,82,914,7643
11106,37690,15701,2565,42,7923,8,356,1110,9985
11109,5980,3525,34,0,1815,0,34,188,384
11201,63378,37298,7809,44,7815,49,162,2937,7264
11203,76085,2837,65687,135,1309,0,162,1070,4885
11204,76395,40269,839,215,24967,10,148,1412,8535
11205,46843,20745,13322,144,2966,4,316,1203,8143
11206,88422,30150,17435,154,5921,45,105,1398,33214
11207,91083,4524,53561,153,1623,63,1332,1016,28811
11208,101313,2747,49533,29,6087,4,772,1032,41109
11209,67782,43607,1926,68,8960,49,126,1470,11576
11210,64665,19346,36782,0,2583,0,733,931,4290
11211,103123,66242,3668,199,5700,22,295,2116,24881
11212,75605,1286,57697,5,831,43,309,916,14518
11213,67056,14719,41067,61,1468,0,192,1595,7954
11214,92644,37917,1369,62,34158,5,403,2151,16579
11215,69873,47251,2722,54,5620,0,610,3136,10480
11216,57786,16386,29689,36,3021,0,217,1956,6481
11217,41813,21270,8038,6,3498,18,233,1726,7024
11218,72413,37962,5355,111,13487,0,450,2603,12445
11219,89371,54475,932,134,21197,0,321,481,11831
11220,93170,12918,1771,69,38527,0,233,1141,38511
11221,83322,14469,35637,159,2890,7,353,1551,28256
11222,36872,27178,1083,61,1594,0,135,1150,5671
11223,81388,42870,3155,190,20457,148,239,2506,11823
11224,45795,23273,9434,72,3404,6,0,1000,8606
11225,56859,14747,33293,60,1577,0,510,1351,5321
11226,99558,12931,64518,149,3055,0,711,1866,16328
11228,44348,21236,460,37,16460,36,67,542,5510
11229,83119,48242,4476,66,18936,43,65,2067,9224
11230,86139,57089,6030,339,11391,27,287,2178,8798
11231,37874,22249,5147,30,2104,303,448,1295,6298
11232,26430,6045,1432,80,4900,18,76,684,13195
11233,79439,6910,57326,89,1488,17,94,1400,12115
11234,93534,34833,40167,123,6723,0,241,1070,10377
11235,78775,57362,1539,72,10744,0,219,2800,6039
11236,100844,4165,84656,93,2597,0,442,1169,7722
11237,48876,9474,3872,129,3298,12,153,884,31054
11238,55210,25250,17638,34,3264,10,412,2582,6020
11239,12772,2593,7209,66,474,0,0,86,2344
11351,0,0,0,0,0,0,0,0,0
11354,53684,8508,1556,46,34296,8,389,881,8000
11355,80987,5842,2225,387,58708,26,329,944,12526
11356,23494,5514,418,0,7475,75,119,443,9450
11357,39407,23240,176,0,9111,14,85,602,6179
11358,36515,12186,148,138,17349,0,152,635,5907
11359,0,0,0,0,0,0,0,0,0
11360,18954,9491,147,23,6975,0,19,291,2008
11361,27201,11123,1139,0,11232,0,28,279,3400
11362,18343,7765,544,0,7647,0,32,414,1941
11363,7096,3488,124,0,2389,0,13,181,901
11364,36215,11902,1089,302,18158,0,0,594,4170
11365,44738,10734,3647,113,19748,15,429,908,9144
11366,14360,5374,770,0,6254,0,0,361,1601
11367,41207,18921,2616,172,11055,0,67,1359,7017
11368,112088,4178,7978,98,13001,0,416,676,85741
11369,31481,2735,4954,55,4126,6,62,338,19205
11370,31580,7744,4179,56,7157,0,40,336,12068
11371,0,0,0,0,0,0,0,0,0
11372,62854,11038,1459,54,13042,0,108,1035,36118
11373,94437,5838,1533,317,45770,10,468,1129,39372
11374,43507,18734,1649,0,13626,0,164,1889,7445
11375,73034,36346,1765,53,20959,0,170,2774,10967
11377,83825,17359,1847,122,30889,0,360,1789,31459
11378,38524,20629,493,82,3938,0,139,539,12704
11379,37991,25310,262,33,4178,0,111,380,7717
11385,107796,48807,1907,33,6969,0,340,1180,48560
11411,20719,223,18834,14,56,0,178,136,1278
11412,37857,380,32660,267,949,91,696,570,2244
11413,41650,645,36967,128,506,57,397,573,2377
11414,28313,19686,585,0,1157,0,153,568,6164
11415,18891,9141,1161,130,3067,15,172,457,4748
11416,26744,3357,1294,0,8820,29,356,838,12050
11417,31321,6066,1908,0,9291,6,1233,1068,11749
11418,38405,5750,2761,242,9035,0,1167,1744,17706
11419,48369,1945,7289,368,16434,33,10662,2529,9109
11420,47470,2386,11320,418,15463,118,3592,2301,11872
11421,41251,6634,1035,64,8103,0,426,634,24355
11422,32761,1031,26597,125,697,0,178,562,3571
11423,30104,2807,11605,85,8629,0,1855,1010,4113
11424,0,0,0,0,0,0,0,0,0
11425,0,0,0,0,0,0,0,0,0
11426,20524,5666,1124,8,8959,0,150,525,4092
11427,24560,4562,4887,147,8238,0,1106,836,4784
11428,18836,2006,3858,27,4870,0,1702,1630,4743
11429,27454,516,19383,179,1231,33,1591,715,3806
11430,206,10,122,0,6,0,0,0,68
11432,64299,8153,9805,333,27246,80,1161,2355,15166
11433,37021,804,23106,17,3580,12,2510,664,6328
11434,64304,1028,53780,8,2000,0,1125,1156,5207
11435,59605,7299,13740,153,13894,6,4163,1654,18696
11436,19167,330,11673,0,1703,0,1666,980,2815
11451,0,0,0,0,0,0,0,0,0
11501,19621,12548,489,10,2367,0,68,273,3866
