NEW YORK,,,,,,,
"Individual Income Tax Returns: 
Selected Income and Tax Items by State, 
ZIP Code, and Size of Adjusted Gross Income, 
Tax Year 2018",,,,,,,
"SOURCE: IRS, Statistics of Income Division, 
Individual Master File System, August 2020.",,,,,,,
[Money amounts are in thousands of dollars],,,,,,,
zip,Number of returns,Number of individuals,Number of dependents,Adjusted gross income (AGI) in thousands,Borough,AGI,AGI Per Capita
0,9632130,17260550,5256960,887473952,NY State,8.87E+11,51416
1,4113120,7197320,2264240,381419765,NYC,3.81E+11,52995
2,835120,1254420,284370,190028651,Manhattan,1.90E+11,151487
3,225940,429720,138040,16994497,Staten,16994497000,39548
4,664800,1216340,472100,27280760,Bronx,27280760000,22429
5,1163290,2085400,634430,64871205,Queens,64871205000,31107
6,1223970,2211440,735300,82244652,Brooklyn,82244652000,37191
10001,16150,21760,3350,2906435,Manhattan,2906435000,133568
10002,42400,67080,16200,2718913,Manhattan,2718913000,40532
10003,29270,38080,4650,8191737,Manhattan,8191737000,215119
10004,2470,4280,1100,944925,Manhattan,944925000,220777
10005,6160,8280,1200,2603668,Manhattan,2603668000,314453
10006,2510,3450,550,577145,Manhattan,577145000,167288
10007,3760,6520,1720,2910802,Manhattan,2910802000,446442
10009,33200,45840,8850,2948597,Manhattan,2948597000,64324
10010,17400,24130,3590,4542337,Manhattan,4542337000,188244
10011,30370,40580,5510,9331779,Manhattan,9331779000,229960
10012,12830,16860,2210,3646355,Manhattan,3646355000,216273
10013,15380,24330,5560,7947938,Manhattan,7947938000,326672
10014,19080,24630,2980,6795181,Manhattan,6795181000,275890
10016,33510,43650,5460,8000771,Manhattan,8000771000,183294
10017,12280,16980,2580,4417331,Manhattan,4417331000,260149
10018,7030,9560,1590,3964454,Manhattan,3964454000,414692
10019,26810,36390,5200,8005583,Manhattan,8005583000,219994
10021,23600,35030,6430,12798847,Manhattan,12798847000,365368
10022,20440,29550,4640,14226340,Manhattan,14226340000,481433
10023,34740,52730,9940,12391069,Manhattan,12391069000,234991
10024,30640,49250,11020,13806195,Manhattan,13806195000,280329
10025,46250,71720,15930,8028810,Manhattan,8028810000,111947
10026,18420,30050,9400,1440633,Manhattan,1440633000,47941
10027,27710,44180,13310,1972417,Manhattan,1972417000,44645
10028,25670,38600,7600,10128983,Manhattan,10128983000,262409
10029,35410,59220,19870,2022052,Manhattan,2022052000,34145
10030,13950,22330,7450,645026,Manhattan,645026000,28886
10031,29390,45020,12960,1401061,Manhattan,1401061000,31121
10032,29400,45560,13240,1270384,Manhattan,1270384000,27884
10033,27090,43640,12890,1360083,Manhattan,1360083000,31166
10034,19890,32550,9940,1019289,Manhattan,1019289000,31315
10035,15570,26100,8980,833400,Manhattan,833400000,31931
10036,19180,25620,3670,4568142,Manhattan,4568142000,178304
10037,10620,16280,4950,570270,Manhattan,570270000,35029
10038,13000,18850,3670,1953888,Manhattan,1953888000,103655
10039,13270,22280,8080,586050,Manhattan,586050000,26304
10040,21550,34910,10420,1037660,Manhattan,1037660000,29724
10044,4570,7340,1610,472585,Manhattan,472585000,64385
10065,16180,24110,4400,8892119,N/A,8892119000,368815
10069,3170,5750,1580,1777529,Manhattan,1777529000,309135
10075,14390,21720,4280,6848124,N/A,6848124000,315291
10128,33540,51680,10800,12570244,Manhattan,12570244000,243232
10162,730,1490,460,203692,Manhattan,203692000,136706
10280,4330,7290,1610,1047685,Manhattan,1047685000,143715
10282,2380,5000,1620,1442366,Manhattan,1442366000,288473
10301,18280,32890,10630,1369609,Staten,1369609000,41642
10302,8280,16220,6010,458236,Staten,458236000,28251
10303,12440,23670,9140,594095,Staten,594095000,25099
10304,20440,38770,13710,1515252,Staten,1515252000,39083
10305,19850,37440,11590,1278252,Staten,1278252000,34141
10306,27730,51790,15280,2132001,Staten,2132001000,41166
10307,6580,12800,4160,657079,Staten,657079000,51334
10308,13810,25700,7350,1124965,Staten,1124965000,43773
10309,15510,30100,9480,1420600,Staten,1420600000,47196
10310,11670,22530,8060,776063,Staten,776063000,34446
10312,29720,57080,17040,2582965,Staten,2582965000,45252
10314,41630,80730,25590,3085380,Staten,3085380000,38219
10451,24060,43630,17590,857426,Bronx,857426000,19652
10452,36950,68800,28520,1129896,Bronx,1129896000,16423
10453,38230,71210,29660,1118282,Bronx,1118282000,15704
10454,15940,30650,13460,488519,Bronx,488519000,15939
10455,18200,34980,15130,574656,Bronx,574656000,16428
10456,41000,78020,33810,1209535,Bronx,1209535000,15503
10457,33580,63960,27480,997507,Bronx,997507000,15596
10458,34930,65420,26740,1116373,Bronx,1116373000,17065
10459,21680,40760,17210,678052,Bronx,678052000,16635
10460,26260,49210,20760,826025,Bronx,826025000,16786
10461,24870,44950,14910,1346454,Bronx,1346454000,29954
10462,40210,74340,27100,1795269,Bronx,1795269000,24149
10463,34570,59620,18730,2432458,Bronx,2432458000,40799
10464,2210,3660,880,212670,Bronx,212670000,58107
10465,19990,35140,11180,1287456,Bronx,1287456000,36638
10466,32980,57870,21590,1388485,Bronx,1388485000,23993
10467,45670,84810,33360,1714750,Bronx,1714750000,20219
10468,36480,66800,26440,1203575,Bronx,1203575000,18018
10469,32960,58580,21140,1593018,Bronx,1593018000,27194
10470,7810,13350,4190,435453,Bronx,435453000,32618
10471,10140,17460,4760,1390724,Bronx,1390724000,79652
10472,29380,57370,23610,971500,Bronx,971500000,16934
10473,28790,50780,19430,1203457,Bronx,1203457000,23699
10474,4980,9510,4120,155708,Bronx,155708000,16373
10475,22930,35460,10300,1153512,Bronx,1153512000,32530
